Entity,Code,Date,people_fully_vaccinated_per_hundred
Ohio,,2021-02-06,2.27
Ohio,,2021-02-07,2.44
Ohio,,2021-02-08,2.62
Ohio,,2021-02-09,2.68
Ohio,,2021-02-10,2.8
Ohio,,2021-02-11,2.99
Ohio,,2021-02-12,3.21
Ohio,,2021-02-13,3.5
Ohio,,2021-02-14,3.83
Ohio,,2021-02-16,4.13
Ohio,,2021-02-17,4.24
Ohio,,2021-02-18,4.4
Ohio,,2021-02-19,4.82
Ohio,,2021-02-20,5.16
Ohio,,2021-02-21,5.56
Ohio,,2021-02-22,5.89
Ohio,,2021-02-23,6.06
Ohio,,2021-02-24,6.35
Ohio,,2021-02-25,6.66
Ohio,,2021-02-26,6.91
Ohio,,2021-02-27,7.28
Ohio,,2021-02-28,7.7
Ohio,,2021-03-01,7.9
Ohio,,2021-03-02,8.14
Ohio,,2021-03-03,8.38
Ohio,,2021-03-04,8.58
Ohio,,2021-03-05,8.77
Ohio,,2021-03-06,9.1
Oklahoma,,2021-01-12,0.44
Oklahoma,,2021-01-13,0.56
Oklahoma,,2021-01-15,0.73
Oklahoma,,2021-01-19,0.78
Oklahoma,,2021-01-20,0.82
Oklahoma,,2021-01-21,0.88
Oklahoma,,2021-01-22,0.95
Oklahoma,,2021-01-23,0.99
Oklahoma,,2021-01-24,1.04
Oklahoma,,2021-01-25,1.05
Oklahoma,,2021-01-26,1.06
Oklahoma,,2021-01-27,1.18
Oklahoma,,2021-01-28,1.33
Oklahoma,,2021-01-29,1.53
Oklahoma,,2021-01-30,1.73
Oklahoma,,2021-01-31,1.98
Oklahoma,,2021-02-01,2.03
Oklahoma,,2021-02-02,2.03
Oklahoma,,2021-02-03,2.21
Oklahoma,,2021-02-04,2.51
Oklahoma,,2021-02-05,2.89
Oklahoma,,2021-02-06,3.32
Oklahoma,,2021-02-07,3.68
Oklahoma,,2021-02-08,3.82
Oklahoma,,2021-02-09,3.85
Oklahoma,,2021-02-10,4.1
Oklahoma,,2021-02-11,4.36
Oklahoma,,2021-02-12,4.51
Oklahoma,,2021-02-13,4.77
Oklahoma,,2021-02-14,5.08
Oklahoma,,2021-02-16,5.21
Oklahoma,,2021-02-17,5.23
Oklahoma,,2021-02-18,5.29
Oklahoma,,2021-02-19,6.09
Oklahoma,,2021-02-20,6.34
Oklahoma,,2021-02-21,6.93
Oklahoma,,2021-02-22,7.32
Oklahoma,,2021-02-23,7.56
Oklahoma,,2021-02-24,7.84
Oklahoma,,2021-02-25,8.22
Oklahoma,,2021-02-26,8.76
Oklahoma,,2021-02-27,9.32
Oklahoma,,2021-02-28,9.97
Oklahoma,,2021-03-01,10.16
Oklahoma,,2021-03-02,10.19
Oklahoma,,2021-03-03,10.45
Oklahoma,,2021-03-04,10.82
Oklahoma,,2021-03-05,11.06
Oklahoma,,2021-03-06,11.37
Oregon,,2021-01-12,0.11
Oregon,,2021-01-13,0.17
Oregon,,2021-01-15,0.3
Oregon,,2021-01-19,0.57
Oregon,,2021-01-20,0.57
Oregon,,2021-01-21,0.57
Oregon,,2021-01-22,0.82
